station_id,res_confidence
0.0,0.3333333333333333
1.0,0.532051282051282
2.0,0.36363636363636365
3.0,0.6612903225806451
4.0,0.5245901639344263
5.0,0.5641025641025641
6.0,0.3125
7.0,0
8.0,0.43902439024390244
9.0,0.5583333333333333
10.0,0
11.0,0.4722222222222222
12.0,0.5250737463126843
13.0,0
14.0,0.8461538461538461
15.0,0.5636363636363636
16.0,0.631578947368421
17.0,0.23333333333333334
18.0,0.5724137931034483
19.0,0.5815602836879432
20.0,0.36470588235294116
21.0,0.58
22.0,0.3783783783783784
23.0,0.5579710144927537
24.0,0.36607142857142855
25.0,0.6037735849056604
26.0,0.7142857142857143
27.0,0.8295454545454546
28.0,0
29.0,0.2916666666666667
30.0,1.0
31.0,0.4
