,Unnamed: 0,dateTime,deviceId,uid,pressure,temperature,humidity,lat,long,pm1_0,pm2_5,pm10
8019,8019,2020-10-26 03:34:57+05:30,00000000078e6811,7410436a-af27-400b-be8a-9c4372f2fd3c,987.615,23.18,58.710938,28.579435,77.234718,125.0,200.0,224.0
8021,8021,2020-10-26 03:35:00+05:30,00000000078e6811,cc9505de-cc08-41f9-ab52-350ebdd1f2a5,987.630312,23.19,58.71386700000001,28.579443,77.234695,127.0,199.0,221.0
8023,8023,2020-10-26 03:35:06+05:30,00000000078e6811,6168cad1-ed4e-409f-a664-0acc9e328fc1,987.612656,23.22,58.664062,28.579472,77.234634,124.0,204.0,220.0
8027,8027,2020-10-26 03:35:18+05:30,00000000078e6811,2e4da13b-1297-41c8-8463-2661c6b88c87,987.637969,23.27,58.367188,28.579475,77.234596,130.0,216.0,236.0
8029,8029,2020-10-26 03:35:21+05:30,00000000078e6811,bda96e0c-4616-45f1-9a9e-01f43eab3390,987.584062,23.27,58.315430000000006,28.579479,77.234566,130.0,212.0,234.0
8031,8031,2020-10-26 03:35:27+05:30,00000000078e6811,b6240226-77fb-4d84-99b8-4642ed6992ab,987.630234,23.3,58.21386700000001,28.579508,77.234512,131.0,215.0,239.0
8032,8032,2020-10-26 03:35:30+05:30,00000000078e6811,2aaa11c9-e971-4336-835a-263eb672d9e1,987.584687,23.29,58.138672,28.579517,77.234512,131.0,212.0,237.0
8035,8035,2020-10-26 03:35:36+05:30,00000000078e6811,5f2051a5-402d-4fd9-8287-fa47bb242d77,987.583516,23.33,58.071289,28.579533,77.23451999999997,127.0,210.0,233.0
8037,8037,2020-10-26 03:35:39+05:30,00000000078e6811,50dc8864-2de5-4336-aeb6-b5142a1e3b57,987.612656,23.35,58.094727,28.579533,77.23451999999997,126.0,208.0,238.0
8039,8039,2020-10-26 03:35:42+05:30,00000000078e6811,89649daf-1995-408d-bf9e-e6ec4a71d0f8,987.615312,23.36,58.13671899999999,28.579536,77.234505,124.0,206.0,237.0
8041,8041,2020-10-26 03:35:48+05:30,00000000078e6811,ab6ec958-aae5-42ea-900e-5e388c8841c3,987.597656,23.38,58.03613299999999,28.579517,77.234512,125.0,211.0,246.0
8043,8043,2020-10-26 03:35:54+05:30,00000000078e6811,68eaf21e-d7d5-4e82-b59d-a0ff79582096,987.577344,23.41,57.96484399999999,28.579508,77.23451999999997,124.0,205.0,236.0
8045,8045,2020-10-26 03:35:57+05:30,00000000078e6811,a514016f-ee7f-43df-87dd-35ba1ae8709b,987.606406,23.42,58.009766000000006,28.579512,77.23451999999997,124.0,206.0,237.0
8047,8047,2020-10-26 03:36:03+05:30,00000000078e6811,baae837a-6cc7-4e2e-9437-8226228c784a,987.638125,23.45,57.866211,28.579485,77.234543,127.0,202.0,223.0
8049,8049,2020-10-26 03:36:06+05:30,00000000078e6811,c07569e9-62b6-4caf-a71b-45b80eefd276,987.573437,23.45,57.771484,28.579475,77.23455,127.0,200.0,222.0
8050,8050,2020-10-26 03:36:09+05:30,00000000078e6811,8190ee79-9f1c-41fd-82c9-09dae9138867,987.592969,23.47,57.690430000000006,28.579472,77.23455,129.0,206.0,229.0
8052,8052,2020-10-26 03:36:12+05:30,00000000078e6811,add52b6e-cb8b-4a59-ba04-f4eedb41242c,987.599844,23.49,57.65136700000001,28.579472,77.234543,128.0,209.0,233.0
8055,8055,2020-10-26 03:36:18+05:30,00000000078e6811,ac0a9997-8f78-42db-89f2-173e3e702def,987.57375,23.52,57.52734399999999,28.579472,77.234543,124.0,208.0,227.0
8057,8057,2020-10-26 03:36:21+05:30,00000000078e6811,63a11c23-f2ab-4369-9cb9-26f46dd9f3d2,987.604375,23.53,57.48828100000001,28.579464,77.234535,126.0,205.0,221.0
8059,8059,2020-10-26 03:36:24+05:30,00000000078e6811,4ee16597-a976-4ad0-b95d-af2506b8f126,987.587891,23.54,57.374023,28.579464,77.234543,125.0,205.0,229.0
