,Unnamed: 0,dateTime,deviceId,uid,pressure,temperature,humidity,lat,long,pm1_0,pm2_5,pm10
10306,10306,2020-10-27 03:45:32+05:30,00000000078e6811,a1090cec-ad18-4b10-aab5-2ae71955559f,987.112031,21.27,51.105469,28.579472,77.225601,163.0,300.0,340.0
10308,10308,2020-10-27 03:45:35+05:30,00000000078e6811,d4bfba57-5491-41c4-b14f-2e0e3e9732e1,987.088438,21.27,51.095703,28.579411,77.225594,166.0,299.0,339.0
10311,10311,2020-10-27 03:45:38+05:30,00000000078e6811,4a4e2641-7fba-465f-93c9-5921f15e4651,987.138047,21.28,51.136719,28.579363,77.22558599999998,168.0,297.0,334.0
10315,10315,2020-10-27 03:45:44+05:30,00000000078e6811,fbb2e9d8-f18d-4c0f-9348-d113c620133c,987.160313,21.3,51.233398,28.579309,77.22558599999998,171.0,297.0,327.0
10318,10318,2020-10-27 03:45:47+05:30,00000000078e6811,bfc18bb1-07bf-4f3e-891a-d245130036e9,987.098438,21.3,51.286133,28.579285,77.225578,172.0,298.0,326.0
10320,10320,2020-10-27 03:45:50+05:30,00000000078e6811,08dd29fd-3ce0-42a8-b158-796f200b5a8b,987.131719,21.3,51.297852,28.579268,77.225578,171.0,298.0,322.0
10323,10323,2020-10-27 03:45:53+05:30,00000000078e6811,d56ec7a0-62e6-498c-8021-60aaa5e91b7b,987.138594,21.3,51.203125,28.57926,77.225578,166.0,292.0,318.0
10328,10328,2020-10-27 03:45:59+05:30,00000000078e6811,a8c14359-5395-407a-96a8-bcc94723c34a,987.066719,21.28,51.211914,28.579241,77.225571,171.0,309.0,337.0
10330,10330,2020-10-27 03:46:02+05:30,00000000078e6811,1ef4ac12-7b3c-487d-a633-ba351500b1f5,987.098984,21.32,51.237305,28.579245,77.225578,165.0,302.0,334.0
10332,10332,2020-10-27 03:46:05+05:30,00000000078e6811,b2af5415-2e3f-46ba-8571-a11afb26de10,987.134531,21.33,51.216797,28.579235,77.225578,161.0,292.0,328.0
10334,10334,2020-10-27 03:46:08+05:30,00000000078e6811,cdcda2bf-03d0-4a9f-b063-4abb719460fa,987.159375,21.33,51.196289,28.579245,77.225571,162.0,290.0,330.0
10337,10337,2020-10-27 03:46:11+05:30,00000000078e6811,56bb1fbb-c762-4e27-92dc-071584aa9649,987.125469,21.34,51.197266,28.579252,77.225578,166.0,295.0,342.0
10340,10340,2020-10-27 03:46:14+05:30,00000000078e6811,bfcfad82-441f-45b8-b856-94d3ac1f2273,987.147266,21.35,51.219727,28.57926,77.225578,169.0,296.0,340.0
10343,10343,2020-10-27 03:46:17+05:30,00000000078e6811,9afddf8f-84b1-4951-ad96-cc08cbd1ce55,987.087031,21.35,51.188477,28.579256,77.225578,172.0,297.0,350.0
